name,address,website,phno,email
Siddhartha Tutorials,"No. 691, Ground Floor, Sector 12, R.K. Puram, Delhi, 110022",,['9818974743'],[]
Elite Educare,"D 74 Basement, Lajpat Nagar 2-Lajpat Nagar, Alaknanda G K, Amarcoloney Lagpat Nagar 4 South, Delhi, 110024",,['9810252244'],[]
Lorentz Institute,"B 28-A, Ramdutt Enclave, Near Metro Station, Uttam Nagar, Delhi, 110059",,"['9311181257', '7838540000']",[]
Chemistry Specialist,"40, Aravali Apartments, Alaknanda, Delhi,",,"['9999942920', '9312248591']",[]
Bhalla Home Tutors,"#9/94, Subhash Nagar, Delhi, 110027",,['9810874500'],[]
Jayesh Tutorial,"Ambrahi Village, Dwarka, Sector 19, Opposite Appar India College and Pocket No. 2, Delhi, 110075",,"['9718694260', '9990026009', '011-28041779', ' 39511784']",[]
K.R.S. Classes,"439, Pocket 2, Near Sant Marry School, Main Road, Sector 19, Dwarka, Delhi, 110075",,['9958324370'],[]
Einstein Coaching Centre,"B-26-B, Vikas Nagar, Near Pradhan Chowk, Street No. 10, Uttam Nagar, Delhi, 110059",http://www.einsteinclasses.com/,['011-66532101'],['einsteinclasses2003@gmail.com']
Skep Coaching Centre,"Plot No. C1/341, Yamuna Vihar, Delhi, 110053",,"['9899604604', '8588870263']",[]
Ridhima Tuition Centre,"A-12, 2nd Floor, Nirankari Colony, Model Town, Delhi, 110009",,"['9818401180', '9313012906']",[]
Anupam Tutor,"F-37, Katwaria Sarai, Hauz Khas, Delhi, 110016",,"['9311303455', '9718147212']",[]
Target JEE,"B-49, Gali No. 14, Pratap Nagar, Mayur Vihar, Phase 1, Delhi, 110091",,['011-33638514'],[]
Gurucul Education,"Rz-A- 89 2nd Floor, Massodpur, Opp. Pkt D -6, Vasant Kunj, Delhi, 110070",,"['9313425845', '9312334733', '011-64703576']",[]
Earni Education Academy,"R-18, Opp. Oriental Bank of Commerce, Rita Blk, Main Vikas Marg, Shakarpur, Delhi, 110092",,['9350947301'],[]
Jaiprakash Institute,"Plot No. 9, Opposite Jdm Appartment, Sector 5, Dwarka, Main Rajapuri Road, Delhi, 110075",,"['8510040140', '9212161241']",[]
M.V.M. Classes,"D-14/187, Sector 8, Rohini (Near Sri Sai Baba Chowk), Delhi,",,['9015341955'],['manmohanlakhan007@gmail.com']
Harsh Academy,"Ground Floor, Kalkaji, Delhi, 110019",,"['9810904682', '9910315887', '011-26446250']",[]
Rama Coaching Center,"E-67, Super Sine Chowk, East Vinod Nagar, Delhi, 110091",,['9891867287'],[]
